annee,emissions_directes_menages_MtCO2e,emissions_production_interieure_MtCO2e,emissions_importees_MtCO2e
1995,136,268,257
1996,144,269,257
1997,141,247,249
1998,145,288,269
1999,147,288,263
2000,145,272,274
2001,152,275,274
2002,150,274,279
2003,152,280,307
2004,155,276,339
2005,152,275,356
2006,149,267,374
2007,139,271,396
2008,141,264,411
2009,142,260,346
2010,140,254,355
2011,132,238,370
2012,136,238,338
2013,137,235,333
2014,123,222,326
2015,126,220,302
2016,130,221,298
2017,126,224,305
2018,121,216,318
2019,119,212,307
2020,103,196,281
2021,113,198,309
2022,106,189,326
2023,100,185,297
2024,99,180,284
